Année d’obtention;Diplôme;Situation;Remarque;Discipline principale agrégée de l’école doctorale;Part de femmes diplômées;Age moyen à la soutenance;Part_docteurs étrangers;Nombre de répondant;Taux de réponse;Part de docteurs déclarant avoir été financés pour réaliser leur thèse;Taux d'insertion;Taux d’emploi stable;Taux d’emploi cadre;Taux d’emploi à temps plein;Répartition des docteurs en emploi dans le secteur académique;Répartition des docteurs en emploi dans le public hors secteur académique;Répartition des docteurs en emploi dans la R&D privée;Répartition des docteurs en emploi dans le privé hors secteur académique et R&D;Taux d’emploi à l’étranger;Taux d’emploi des docteurs dans la même région;1er quartile du salaire net mensuel des emplois à temps plein;Salaire net mensuel médian des emplois à temps plein;3ème quartile du salaire net mensuel des emplois à temps plein;Salaire brut annuel moyen estimé;Lib_Etablissement;NUMERO_UAI;Lib_Etablissement_Courant;NUMERO_UAI_Courant
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;0;33;0;4;100;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;MONTPELLIER 1 (fermé);0341087X;U MONTPELLIER;0342321N
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;69;32;19;10;62;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;MONTPELLIER SUPAGRO;0342222F;MONTPELLIER SUPAGRO;0342222F
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;33;34;40;28;58;60;100;59;100;100;65;21;0;14;44;20;2263;2479;2852;35000;RENNES 1;0350936C;RENNES 1;0350936C
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;nd;nd;nd;2;40;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;RENNES 2;0350937D;RENNES 2;0350937D
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;51;30;26;24;69;85;84;54;90;100;46;20;21;13;20;36;1893;2438;3317;39000;TOURS;0370800U;TOURS;0370800U
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;62;37;31;10;77;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;SAINT-ETIENNE;0421095M;SAINT-ETIENNE;0421095M
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;63;30;38;6;75;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;SAINT-ETIENNE;0421095M;SAINT-ETIENNE;0421095M
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;61;30;17;45;62;92;89;39;87;100;60;13;7;20;36;31;1964;2499;3258;35277;NANTES;0440984F;NANTES;0440984F
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;38;30;52;19;65;93;100;55;100;93;37;19;24;20;25;33;2250;2366;2774;36000;ENSM NANTES (fermé);0442205H;IMT ATLANTIQUE NANTES;0442852L
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;67;30;50;5;83;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ONIRIS NANTES ATLANTIQUE;0442674T;ONIRIS NANTES ATLANTIQUE;0442674T
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;63;29;26;15;79;92;78;63;90;100;31;16;24;29;12;25;2006;2261;2506;31944;ORLEANS;0450855K;ORLEANS;0450855K
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;63;30;27;26;86;80;96;55;92;93;64;13;4;19;38;43;1659;2309;3754;32600;ANGERS;0490970N;ANGERS;0490970N
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;31;35;38;10;62;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ANGERS;0490970N;ANGERS;0490970N
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;63;37;44;41;63;40;91;61;74;75;29;47;6;17;21;41;1536;2064;2333;29142;LORRAINE;0542493S;LORRAINE;0542493S
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;33;30;39;15;83;94;100;76;100;100;64;24;12;0;28;0;1851;2211;2800;31218;LITTORAL;0595964M;LITTORAL;0595964M
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;25;30;54;53;67;90;94;71;98;98;49;17;22;12;49;26;2057;2438;2594;39000;CLERMONT AUVERGNE;0632035V;CLERMONT AUVERGNE;0632035V
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;50;29;35;21;81;95;77;58;93;95;51;12;25;12;56;29;1530;1991;2344;28111;PERPIGNAN;0660437S;PERPIGNAN;0660437S
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;42;37;78;31;48;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;PERPIGNAN;0660437S;PERPIGNAN;0660437S
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;19;29;41;25;52;91;100;77;100;96;38;0;51;12;23;30;1971;2430;2688;36000;EC. CENTRALE LYON;0690187D;EC. CENTRALE LYON;0690187D
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;52;30;20;102;59;76;92;49;96;95;61;17;11;12;36;45;2125;2267;2833;32848;LYON 1;0691774D;LYON 1;0691774D
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;63;36;37;83;32;58;94;66;87;86;39;48;4;9;30;48;1867;2191;2593;32880;PARIS 4 (fermé);0751720M;SORBONNE UNIVERSITE;0755890V
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;54;36;47;96;48;73;88;52;94;89;73;24;1;2;53;25;2160;2437;2674;34404;EHESS PARIS;0753742K;EHESS PARIS;0753742K
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;27;32;68;13;59;81;74;69;94;100;63;6;15;16;67;12;1841;1962;2813;27704;LE HAVRE;0762762P;LE HAVRE;0762762P
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;34;30;57;10;19;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;VERSAILLES ST-QUENT.;0781944P;VERSAILLES ST-QUENT.;0781944P
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;nd;nd;nd;1;8;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;VERSAILLES ST-QUENT.;0781944P;VERSAILLES ST-QUENT.;0781944P
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;44;38;36;11;44;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;POITIERS;0860856N;POITIERS;0860856N
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;63;nd;nd;18;47;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ANTILLES;9710585J;ANTILLES;9710585J
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;64;36;21;5;36;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;NOUVELLE CALEDONIE;9830445S;NOUVELLE CALEDONIE;9830445S
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;29;30;61;25;61;97;83;58;92;92;36;11;22;31;36;nd;2336;2522;2674;30928;UT TROYES;0101060Y;UT TROYES;0101060Y
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;56;35;37;48;60;41;83;66;92;95;51;44;0;5;19;nd;2074;2263;2489;27152;DIJON;0211237F;DIJON;0211237F
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;33;32;29;27;82;61;83;56;100;100;48;29;10;13;16;nd;1940;2281;4011;ns;BESANCON;0251215K;BESANCON;0251215K
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;56;36;41;22;69;68;77;67;87;66;30;43;8;19;15;nd;1913;2158;2261;26352;BESANCON;0251215K;BESANCON;0251215K
2014;DOCTORAT;12 mois après le diplôme;;Sciences et leurs interactions;43;30;40;80;77;86;82;26;95;95;58;14;14;14;39;nd;1768;2215;2479;29040;BREST;0290346U;BREST;0290346U
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;43;29;29;11;78;100;78;22;100;100;60;18;0;22;40;nd;1877;2466;2625;27588;INSA TOULOUSE;0310152X;INSA TOULOUSE;0310152X
2014;DOCTORAT;12 mois après le diplôme;;Sciences humaines et humanités;57;36;31;61;55;37;78;62;90;86;46;36;0;18;25;nd;1875;2385;2692;30000;TOULOUSE 2;0311383K;TOULOUSE 2;0311383K
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;53;38;33;42;51;35;87;62;88;84;29;54;0;17;22;nd;1771;2468;2571;25000;BORDEAUX 3;0331766R;BORDEAUX 3;0331766R
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;48;28;14;13;62;77;74;41;100;100;58;0;21;21;25;nd;2178;2540;2777;36708;ENS CHIM. MONTPELLIER;0340112M;ENS CHIM. MONTPELLIER;0340112M
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;46;29;33;9;69;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;MONTPELLIER 1 (fermé);0341087X;U MONTPELLIER;0342321N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;69;31;24;25;56;81;76;42;95;100;77;8;5;10;47;nd;2006;2057;2057;29040;MONTPELLIER 1 (fermé);0341087X;U MONTPELLIER;0342321N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;nd;nd;nd;2;40;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;RENNES 2;0350937D;RENNES 2;0350937D
2014;DOCTORAT;12 mois après le diplôme;;Sciences humaines et humanités;45;36;21;41;73;34;80;60;83;78;39;50;0;11;22;nd;1748;1970;2281;25000;RENNES 2;0350937D;RENNES 2;0350937D
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;30;30;45;21;64;94;90;54;100;89;46;9;29;16;18;nd;2131;2486;2750;36000;TOURS;0370800U;TOURS;0370800U
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;51;30;26;24;69;85;86;28;100;100;43;23;15;18;31;nd;1893;2438;3391;35000;TOURS;0370800U;TOURS;0370800U
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;38;29;28;21;47;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;ENSM ST-ETIENNE;0420094Z;ENSM ST-ETIENNE;0420094Z
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;21;30;43;42;49;91;93;56;94;96;52;10;27;11;42;nd;2125;2394;2928;32000;NANTES;0440984F;NANTES;0440984F
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;54;36;39;20;49;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;NANTES;0440984F;NANTES;0440984F
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;35;34;65;19;73;86;94;81;76;93;58;18;0;25;32;nd;2074;2263;2614;22000;ORLEANS;0450855K;ORLEANS;0450855K
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;100;37;13;6;75;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;ANGERS;0490970N;ANGERS;0490970N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;58;32;45;34;85;75;79;62;93;80;66;7;14;13;37;nd;2126;2636;4114;43560;LORRAINE;0542493S;LORRAINE;0542493S
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;23;29;54;24;69;91;91;45;96;94;56;10;16;18;41;nd;2160;2267;2674;32500;BRETAGNE-SUD;0561718N;BRETAGNE-SUD;0561718N
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;62;37;22;40;66;33;94;67;87;80;36;46;2;16;7;nd;2006;2571;2980;30782;LILLE 3 (fermé);0593561A;UNIVERSITE DE LILLE;0597065J
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;nd;nd;nd;1;100;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;LITTORAL;0595964M;LITTORAL;0595964M
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;nd;nd;nd;2;100;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;LITTORAL;0595964M;LITTORAL;0595964M
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;11;30;33;14;78;72;100;63;100;100;42;17;11;31;33;nd;2074;2155;2993;27770;ARTOIS;0623957P;ARTOIS;0623957P
2014;DOCTORAT;12 mois après le diplôme;;Sciences et leurs interactions;39;29;53;53;90;94;84;48;88;97;55;16;9;19;32;nd;1831;2833;3080;31001;PAU;0640251A;PAU;0640251A
2014;DOCTORAT;12 mois après le diplôme;;Sciences et leurs interactions;38;29;44;114;71;90;84;42;95;96;63;11;16;10;51;nd;2057;2363;2893;31920;UNIVERSITE DE STRASBOURG;0673021V;UNIVERSITE DE STRASBOURG;0673021V
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;12;31;57;20;57;94;88;51;100;91;54;22;20;4;50;nd;2075;2222;2263;26136;MULHOUSE;0681166Y;MULHOUSE;0681166Y
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;39;29;44;91;57;87;91;45;100;98;36;14;32;17;30;nd;2250;2500;3117;35000;LYON 1;0691774D;LYON 1;0691774D
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;62;28;24;10;48;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;ENS LYON;0694123G;ENS LYON;0694123G
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;55;40;43;9;19;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;CNAM PARIS;0753471R;CNAM PARIS;0753471R
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences humaines et humanités;nd;nd;nd;3;10;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;VERSAILLES ST-QUENT.;0781944P;VERSAILLES ST-QUENT.;0781944P
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences de la société;nd;nd;nd;2;40;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;TOULON;0830766G;TOULON;0830766G
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences et leurs interactions;42;30;71;10;42;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;nd;ns;ns;ns;ns;EVRY;0911975C;EVRY;0911975C
2014;DOCTORAT;36 mois après le diplôme;;Sciences et leurs interactions;28;29;49;320;62;90;93;72;94;97;40;7;27;26;33;34;2263;2520;2793;38380;;;UNIVERSITE GRENOBLE ALPES;0383546Y
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences du vivant;54;29;30;73;65;87;87;43;97;96;64;14;12;10;34;42;1913;2160;2600;31102;;;UNIVERSITE GRENOBLE ALPES;0383546Y
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences humaines et humanités;58;35;47;54;65;55;87;66;78;89;37;43;5;15;34;42;1763;2316;2520;32699;;;UNIVERSITE GRENOBLE ALPES;0383546Y
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables ou respectant le secret statistique;Sciences du vivant;nd;nd;nd;2;66;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;;;UNIVERSITE PARIS SCIENCES ET LETTRES;0756036D
2014;DOCTORAT;36 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences de la société;45;35;40;32;60;69;81;62;94;86;35;30;0;36;8;57;2074;2344;3531;33086;;;UNIVERSITE GUSTAVE EIFFEL;0772894C
2014;DOCTORAT;12 mois après le diplôme;Etablissement ayant participé à  l'enquéte mais dont l'effectif ou le taux de réponse est trop petit pour que les résultats soient jugés statistiquement fiables;Sciences et leurs interactions;42;30;50;21;58;74;92;50;100;96;50;13;10;26;30;nd;2111;2375;2695;30000;;;CY CERGY PARIS UNIVERSITE;0952259P
